,threshold,percentage,acc,f1
unimap,0.0,1.0,0.8922062815044591,0.8980909526572414
unimap,0.01,1.0,0.8922062815044591,0.8980909526572414
unimap,0.02,1.0,0.8922062815044591,0.8980909526572414
unimap,0.03,1.0,0.8922062815044591,0.8980909526572414
unimap,0.04,1.0,0.8922062815044591,0.8980909526572414
unimap,0.05,1.0,0.8922062815044591,0.8980909526572414
unimap,0.06,1.0,0.8922062815044591,0.8980909526572414
unimap,0.07,1.0,0.8922062815044591,0.8980909526572414
unimap,0.08,0.9998061264055835,0.8923792902850495,0.898276828940974
unimap,0.09,0.9984490112446684,0.8930097087378641,0.8988456391927447
unimap,0.1,0.9939899185730904,0.8950653403549834,0.900642593742499
unimap,0.11,0.9875920899573478,0.8973301923831959,0.9025859517452991
unimap,0.12,0.978867778208608,0.9005743711626064,0.9052941867561882
unimap,0.13,0.9703373400542846,0.9050949050949051,0.9093477321603819
unimap,0.14,0.9614191547111284,0.9084492841298649,0.9122691684077212
unimap,0.15,0.9523070957735557,0.9118485342019544,0.9153136541101398
unimap,0.16,0.9430011632415665,0.915296052631579,0.9183648545999484
unimap,0.17,0.9342768514928267,0.9182402988171819,0.9210109985004916
unimap,0.18,0.9267157813105855,0.9213389121338912,0.9238691384822139
unimap,0.19,0.916828227995347,0.9255656587016282,0.9277158677062093
unimap,0.2,0.9073284218689415,0.9282051282051282,0.9300883078176619
unimap,0.21,0.8999612252811167,0.9310641964670401,0.9326003315009592
unimap,0.22,0.8937572702597906,0.9325379609544469,0.9340436849688337
unimap,0.23,0.8873594416440481,0.9344548831112082,0.93586153317211
unimap,0.24,0.8799922450562233,0.937871777924653,0.9391069558958199
unimap,0.25,0.8739821636293137,0.940550133096717,0.9415342922845691
unimap,0.26,0.8671965878247383,0.9423205902079141,0.9431944882049338
unimap,0.27,0.8623497479643273,0.9437949640287769,0.9446622769417605
unimap,0.28,0.8573090345094998,0.9457259158751696,0.9464416229060534
unimap,0.29,0.851686700271423,0.9469610744366037,0.9476003100662875
unimap,0.3,0.847227607599845,0.9473684210526315,0.9479407529386669
unimap,0.31,0.8398604110120201,0.9496768236380425,0.9501584569946729
unimap,0.32,0.8321054672353625,0.9522367194780987,0.9527546402266207
unimap,0.33,0.8276463745637844,0.9529163738580464,0.9535048339212675
unimap,0.34,0.824350523458705,0.9536688617121355,0.9543020076707269
unimap,0.35,0.8185343156262117,0.9545239223117006,0.9552160181760195
unimap,0.36,0.8123303606048856,0.9558472553699284,0.9566021237822327
unimap,0.37,0.8069018999612253,0.9567515617491591,0.9574340942249353
unimap,0.38,0.8018611865063978,0.9584139264990329,0.9588933802159557
unimap,0.39,0.7977898410236526,0.9591737545565006,0.959638660604291
unimap,0.4,0.793136874757658,0.9596675629430457,0.9600967112662083
unimap,0.41,0.7894532764637456,0.9609528487229863,0.9613769869569148
unimap,0.42,0.7851880573865839,0.9612345679012345,0.9616773678586911
unimap,0.43,0.781698332687088,0.9623015873015873,0.9627645294277944
unimap,0.44,0.7772392400155099,0.963083063108007,0.9634854731375783
unimap,0.45,0.7741372625048468,0.9634360130227899,0.9638053888704693
unimap,0.46,0.7698720434276851,0.9647443968773609,0.9650766197680766
unimap,0.47,0.7648313299728577,0.9650190114068441,0.9653663524081351
unimap,0.48,0.7611477316789453,0.9658685685175752,0.9661621215005063
unimap,0.49,0.7584335013571152,0.9665132924335378,0.9668100503984561
unimap,0.5,0.7535866614967042,0.9680987908412657,0.9683750043650754
unimap,0.51,0.7493214424195425,0.9692108667529107,0.9694966183128926
unimap,0.52,0.7444746025591314,0.9697916666666667,0.9700748744729133
unimap,0.53,0.7396277626987204,0.9706422018348624,0.9709443236564509
unimap,0.54,0.735944164404808,0.9707586933614331,0.9710639362736067
unimap,0.55,0.73148507173323,0.9719056453750331,0.972198309921112
unimap,0.56,0.7258627374951532,0.9722222222222222,0.9725238627073929
unimap,0.57,0.7210158976347422,0.973379940844313,0.973673908246163
unimap,0.58,0.7179139201240791,0.9738050229543613,0.9741168156640976
unimap,0.59,0.7142303218301668,0.9750271444082519,0.9753420201813267
unimap,0.6,0.7107405971306708,0.975177304964539,0.9754940844722219
unimap,0.61,0.7056998836758434,0.9755494505494505,0.9758750869267953
unimap,0.62,0.7008530438154323,0.9759336099585062,0.9762650220362663
unimap,0.63,0.6938735944164405,0.9762503492595697,0.9765867359186917
unimap,0.64,0.6899961225281117,0.9769598201742062,0.9772966339945662
unimap,0.65,0.6843737882900349,0.9770538243626062,0.97738761359011
unimap,0.66,0.679139201240791,0.9774479017984584,0.9777814477100121
unimap,0.67,0.6731291198138813,0.9775345622119815,0.9778678593062236
unimap,0.68,0.666343544009306,0.9778876927553098,0.9782056372063349
unimap,0.69,0.6616905777433114,0.9783181951362437,0.978642170513143
unimap,0.7,0.6558743699108182,0.9784215193615134,0.9785995902620623
unimap,0.71,0.648313299728577,0.978767942583732,0.9789458904667927
unimap,0.72,0.6432725862737495,0.9792043399638336,0.9793804151032013
unimap,0.73,0.6384257464133385,0.9805648344974187,0.9807368800429882
unimap,0.74,0.633385032958511,0.9807162534435262,0.980871437791937
unimap,0.75,0.6271810779371849,0.9811437403400309,0.9812997907650229
unimap,0.76,0.6217526172935246,0.9816027439975055,0.9817552264876667
unimap,0.77,0.6161302830554478,0.9823788546255506,0.9825756651356629
unimap,0.78,0.6101202016285382,0.9825230378137909,0.9827281943568801
unimap,0.79,0.6033346258239628,0.9826478149100257,0.9828438174189544
unimap,0.8,0.5955796820473052,0.982421875,0.9826058166697046
unimap,0.81,0.5872431174873982,0.9841531858699241,0.984194366544151
unimap,0.82,0.5792943001163241,0.9842704149933066,0.9843316641271932
unimap,0.83,0.5721209771229159,0.9840731955269401,0.9841312937564105
unimap,0.84,0.5641721597518418,0.9848797250859107,0.9849358804800169
unimap,0.85,0.5556417215975185,0.9853454291695743,0.9854152366999066
unimap,0.86,0.5473051570376115,0.9854764434998229,0.9855554653196016
unimap,0.87,0.5358666149670415,0.98589001447178,0.9859797969669775
unimap,0.88,0.5248158200853044,0.985962319911341,0.986038798321575
unimap,0.89,0.5135711516091508,0.986409966024915,0.9864796330193778
unimap,0.9,0.5025203567274137,0.9872685185185185,0.9873332929143895
unimap,0.91,0.490306320279178,0.9877421905891657,0.9878327486056202
unimap,0.92,0.47440868553702986,0.9881487535758071,0.9882355059410561
unimap,0.93,0.455990694067468,0.9893707482993197,0.9895389992027293
unimap,0.94,0.43563396665374177,0.9906542056074766,0.990820724386552
unimap,0.95,0.41547111283443194,0.9916005599626692,0.9917601411001545
